k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.6,0.2,0.4,0.229698,185.944,20.9182,0.0812564,20.317,1.06634,11.6816,336507,4538.27,0.224551,4530.04,10.567,340.053,51.1145,-0.133157,70.2286,2.23621,34788.4,153.854,33881.6,1764.94,14.2735,3872.4,203.393,9.84677,0.633727,197.985
0.2,0.2,0.2,0.6,0.2,0.6,0.203898,185.924,20.944,0.0834564,20.3248,1.05854,7.90809,336410,4563.47,0.23284,4531.37,10.463,275.821,40.4019,-0.138694,69.9955,2.06154,34838.4,158.249,33899.3,1746.63,14.8275,3873.5,202.707,10.7464,0.629564,197.373
0.2,0.2,0.2,0.6,0.2,0.8,0.185298,185.9,20.9626,0.0824564,20.3186,1.06474,10.0548,336388,4587.58,0.229401,4532.67,10.6453,270.793,27.2728,-0.136373,75.9507,1.77476,34830.3,153.348,33896.1,1755.96,14.9315,3865.51,205.021,10.8421,0.641784,196.631
0.2,0.2,0.2,0.6,0.2,1,0.156098,185.886,20.9918,0.0834564,20.3342,1.04914,4.39005,336306,4585.27,0.23107,4537.97,10.2104,204.984,31.2629,-0.110464,41.0019,1.60434,34898.7,157.819,33889.7,1729.75,15.6231,3905.38,200.276,11.2056,0.640606,194.2
0.2,0.2,0.2,0.6,0.4,0.2,0.184098,185.894,20.9638,0.0814564,20.313,1.07034,9.24115,336332,4578,0.233818,4527.19,10.6636,254.863,32.4715,-0.119749,58.4449,1.83543,34851,155.157,33865.9,1766.57,15.1222,3883.58,204.396,10.2923,0.621578,199.364
0.2,0.2,0.2,0.6,0.4,0.4,0.162698,185.873,20.9852,0.0810564,20.313,1.07034,6.36387,336265,4588.14,0.219369,4528.12,10.6352,216.516,28.8388,-0.126083,50.1168,1.63163,34883.1,150.414,33856.9,1767.66,14.713,3891.81,204.702,10.1841,0.635885,198.908
0.2,0.2,0.2,0.6,0.4,0.6,0.134498,185.854,21.0134,0.0760564,20.3168,1.06654,3.73483,336223,4598.13,0.213992,4531.39,10.5565,177.993,25.1569,-0.0999718,38.6264,1.38287,34916.7,146.498,33859.2,1755.51,13.5958,3903.53,204.717,9.99245,0.597214,197.314
0.2,0.2,0.2,0.6,0.4,0.8,0.163698,185.874,20.9842,0.0852564,20.3172,1.06614,4.84386,336272,4587.22,0.238262,4531.39,10.6413,215.165,30.0576,-0.117932,53.4015,1.62772,34882.6,161.248,33875.7,1752.88,15.9265,3888.13,205.097,10.9776,0.668,197.274
0.2,0.2,0.2,0.6,0.4,1,0.128698,185.849,21.0192,0.0854564,20.327,1.05634,4.07847,336241,4596.94,0.242777,4531.74,10.4504,187.906,25.5846,-0.094123,41.2984,1.34479,34907.5,159.004,33873.4,1743.7,15.4906,3902.74,202.878,10.4371,0.646252,197.194
0.2,0.2,0.2,0.6,0.6,0.2,0.159498,185.863,20.9884,0.0808564,20.3054,1.07794,6.0448,336208,4587.74,0.209101,4526.59,10.8212,203.345,29.1994,-0.104768,45.7468,1.5656,34893.5,150.511,33836.1,1782.89,15.0657,3893.7,207.243,10.4119,0.644326,199.584
0.2,0.2,0.2,0.6,0.6,0.4,0.176098,185.884,20.9718,0.0812564,20.3108,1.07254,5.75279,336287,4572.39,0.220541,4527.86,10.7289,237.922,37.0223,-0.128264,52.3505,1.78258,34868.5,155.3,33852.9,1773.64,14.5064,3888.57,205.551,10.3224,0.652841,198.994
0.2,0.2,0.2,0.6,0.6,0.6,0.161098,185.879,20.9868,0.0908564,20.3296,1.05374,5.32846,336291,4592.9,0.254686,4534.08,10.3754,219.934,26.9768,-0.123678,60.4834,1.68002,34877.7,170.098,33897.5,1739.02,16.7866,3884.38,201.72,11.6257,0.692734,196.059
0.2,0.2,0.2,0.6,0.6,0.8,0.191498,185.919,20.9564,0.0798564,20.3286,1.05474,8.68326,336380,4574.95,0.219664,4532.88,10.3564,251.294,34.2758,-0.12246,66.6107,1.93386,34858.5,154.39,33903.6,1740.29,14.3294,3877.35,202.362,10.1554,0.60505,196.668
0.2,0.2,0.2,0.6,0.6,1,0.177898,185.905,20.97,0.0848564,20.333,1.05034,7.52236,336318,4574.99,0.22848,4534.86,10.2457,220.447,34.8346,-0.112206,54.2429,1.76873,34889.2,159.022,33895.9,1736.34,15.6609,3891.46,200.79,10.2251,0.670973,195.734
0.2,0.2,0.2,0.6,0.8,0.2,0.153498,185.859,20.9944,0.0816564,20.308,1.07534,3.97024,336210,4584.96,0.223722,4526.9,10.7314,203.309,31.6275,-0.109871,46.0139,1.56245,34895.4,152.337,33838.2,1781.41,14.9078,3894.81,205.876,10.2691,0.656636,199.474
0.2,0.2,0.2,0.6,0.8,0.4,0.173298,185.888,20.9746,0.0918564,20.3282,1.05514,7.23444,336311,4575.1,0.252327,4533.21,10.355,236.501,34.9239,-0.118813,57.0912,1.79339,34870,176.322,33893.6,1738.77,17.3147,3887.37,202.004,12.1078,0.716391,196.508
