k1,k2,k3,k4,o1,o2,o3,o4,o5,o6
0.035,0.03,0.06,0.03,10041.8,0,7.933333333,0,-337.8068966,0
0.035,0.03,0.06,0.1,10132.96667,0,6.366666667,0,-156.7804598,0
0.035,0.03,0.06,0.3,10054.63333,0,7.3,0,-523.5068966,0
0.035,0.035,0.03,0.03,1643.033333,2133.866667,386.5333333,72559.55632,18599.25747,274.9011494
0.035,0.035,0.03,0.1,1457.5,1714.7,586.3,30835.15517,13694.12069,-2074.906897
0.035,0.035,0.03,0.3,2644.333333,940.3,765.0666667,-446137.2759,-381062.9195,77741.77241
0.035,0.035,0.035,0.03,3360.4,1698.6,421.0333333,-1867655.214,-413690.6345,140913.3241
0.035,0.035,0.035,0.1,3541.6,1556.766667,562.5666667,-1146407.614,-391364.9034,130809.5506
0.035,0.035,0.035,0.3,5776.866667,494.4333333,435.7,-1296583.182,-1105390.041,236893.0655
0.035,0.035,0.04,0.03,7691.566667,434.8666667,127.3,-1880971.818,-489083.3483,173160.8
0.035,0.035,0.04,0.1,7385.966667,474.0666667,205.7333333,-2073103.17,-861915.8713,248184.6046
0.035,0.035,0.04,0.3,8454.566667,57.06666667,69.86666667,-192449.9011,-181547.4736,42050.0092
0.035,0.035,0.045,0.03,8978.333333,128.0666667,57.23333333,-685297.4368,-235188.2529,80747.05287
0.035,0.035,0.045,0.1,9314.366667,0.066666667,12.16666667,-102.9908046,-2630.58046,0.954022989
0.035,0.035,0.045,0.3,9435.833333,0,10.46666667,0,-1227.264368,0
0.035,0.035,0.05,0.03,9809.933333,0,7.933333333,0,-401.5908046,0
0.035,0.035,0.05,0.1,9733.2,0,8.666666667,0,-566.0689655,0
0.035,0.035,0.05,0.3,9784.5,0,8.6,0,-868.137931,0
0.035,0.035,0.055,0.03,9923.7,0,7.933333333,0,-725.9517241,0
0.035,0.035,0.055,0.1,10026.96667,0,6.833333333,0,-753.0747126,0
0.035,0.035,0.055,0.3,10068.1,0,6.366666667,0,-464.1758621,0
0.035,0.035,0.06,0.03,10158.96667,0,6.3,0,-104.9896552,0
0.035,0.035,0.06,0.1,10264.6,0,7.233333333,0,-303.9034483,0
0.035,0.035,0.06,0.3,10207.93333,0,6.1,0,-8.510344828,0
0.035,0.04,0.03,0.03,1973.366667,1957.366667,407.2666667,-805018.7598,-134965.0667,51857.7954
0.035,0.04,0.03,0.1,2061.4,1584.5,590.2333333,-641551.7241,-236859.8552,69399.77586
0.035,0.04,0.03,0.3,3245.933333,777.2666667,716.0333333,-804578.1195,-725073.2046,147776.577
0.035,0.04,0.035,0.03,5940.533333,978.7333333,243.7333333,-3000803.439,-703966.8529,250471.2023
0.035,0.04,0.035,0.1,5757.8,947.6333333,373.1666667,-2194526.455,-839610.2414,292378.408
0.035,0.04,0.035,0.3,6799.7,348.8,320.8333333,-1053323.717,-908653.4655,216663.4828
0.035,0.04,0.04,0.03,8216.533333,229.8,75.46666667,-1063212.097,-267304.5678,102153.3034
0.035,0.04,0.04,0.1,8349.966667,225.2666667,120.5333333,-1180646.094,-552987.3609,158146.8529
0.035,0.04,0.04,0.3,9051.133333,0.133333333,12.13333333,-75.0183908,-2088.363218,0.498850575
0.035,0.04,0.045,0.03,9661.5,0.033333333,7.6,-23.77586207,-1678.896552,0.117241379
0.035,0.04,0.045,0.1,9532.1,0.066666667,8.533333333,-46.2137931,-859.8482759,0.23908046
0.035,0.04,0.045,0.3,9459.1,0,9.2,0,-749.1586207,0
0.035,0.04,0.05,0.03,9851.666667,0,8.066666667,0,-462.5632184,0
0.035,0.04,0.05,0.1,9911.7,0,7.7,0,-1571.472414,0
0.035,0.04,0.05,0.3,9785.7,0,7.833333333,0,-763.362069,0
0.035,0.04,0.055,0.03,10049.4,0,6.8,0,-275.1931034,0
0.035,0.04,0.055,0.1,10137.43333,0,7.9,0,-121.3689655,0
0.035,0.04,0.055,0.3,10159.73333,0,7.566666667,0,-627.0850575,0
0.035,0.04,0.06,0.03,10255.86667,0,6.066666667,0,-244.0597701,0
0.035,0.04,0.06,0.1,10256.06667,0,6.3,0,-481.8137931,0
0.035,0.04,0.06,0.3,10286.6,0,6.033333333,0,-258.3655172,0
0.035,0.045,0.03,0.03,2466.133333,1901.866667,416.1333333,-846358.6713,-165978.6736,58262.12184
0.035,0.045,0.03,0.1,3317.2,1395.2,548.4666667,-1582784.145,-577705.9586,188083.6966
0.035,0.045,0.03,0.3,4845.1,565.9,568.6666667,-1072516.231,-1043535.414,210539.7241
0.035,0.045,0.035,0.03,6670.166667,673.9333333,199.7333333,-2474570.299,-669061.0575,248750.292
0.035,0.045,0.035,0.1,7671.533333,372.3,166.4666667,-1443073.441,-578753.154,199209.4759
0.035,0.045,0.035,0.3,8347.766667,70.33333333,91.53333333,-428398.5057,-466469.0782,77067.81609
0.035,0.045,0.04,0.03,8955.6,129.7333333,50.9,-729693.3172,-231669.9034,74361.5931
0.035,0.045,0.04,0.1,8726.333333,104.4,67.66666667,-629674.6897,-339481.1609,83196.86207
0.035,0.045,0.04,0.3,9211.566667,29.7,41.33333333,-147278.2034,-154164.5747,27364.96552
