param1,param2,param3,output1,output2
0.03,0.025,0.04,9002.0,0.0
0.03,0.025,0.04,5173.0,1702.0
0.03,0.025,0.04,9268.0,0.0
0.03,0.025,0.04,9022.0,0.0
0.03,0.025,0.04,9214.0,0.0
0.03,0.025,0.04,9493.0,0.0
0.03,0.025,0.04,8840.0,0.0
0.03,0.025,0.04,7100.0,1.0
0.03,0.025,0.04,5500.0,1689.0
0.03,0.025,0.04,8915.0,0.0
0.03,0.025,0.04,2564.0,1812.0
0.03,0.025,0.04,8756.0,0.0
0.03,0.025,0.04,9120.0,0.0
0.03,0.025,0.04,8687.0,0.0
0.03,0.025,0.04,9202.0,0.0
0.03,0.025,0.04,9546.0,0.0
0.03,0.025,0.04,7902.0,0.0
0.03,0.025,0.04,9852.0,0.0
0.03,0.025,0.04,2792.0,1625.0
0.03,0.025,0.04,8667.0,0.0
0.03,0.025,0.04,8538.0,0.0
0.03,0.025,0.045,9651.0,0.0
0.03,0.025,0.045,9399.0,0.0
0.03,0.025,0.045,8798.0,0.0
0.03,0.025,0.045,7833.0,1.0
0.03,0.025,0.045,10008.0,0.0
0.03,0.025,0.045,8510.0,1.0
0.03,0.025,0.045,7952.0,0.0
0.03,0.025,0.045,8811.0,0.0
0.03,0.025,0.045,9360.0,0.0
0.03,0.025,0.045,9718.0,0.0
0.03,0.025,0.045,8625.0,0.0
0.03,0.025,0.045,9918.0,0.0
0.03,0.025,0.045,7420.0,4.0
0.03,0.025,0.045,8889.0,0.0
0.03,0.025,0.045,10035.0,0.0
0.03,0.025,0.045,7103.0,1173.0
0.03,0.025,0.045,9796.0,0.0
0.03,0.025,0.045,8848.0,0.0
0.03,0.025,0.045,9596.0,0.0
0.03,0.025,0.045,9174.0,0.0
0.03,0.025,0.045,9265.0,0.0
0.03,0.025,0.045,9787.0,0.0
0.03,0.025,0.045,10138.0,0.0
0.03,0.025,0.045,9418.0,0.0
0.03,0.025,0.045,9307.0,0.0
0.03,0.025,0.045,8121.0,4.0
0.03,0.025,0.045,9342.0,0.0
0.03,0.025,0.045,9984.0,0.0
0.03,0.025,0.045,8899.0,2.0
0.03,0.025,0.045,10048.0,0.0
0.03,0.025,0.05,9845.0,0.0
0.03,0.025,0.05,9849.0,0.0
0.03,0.025,0.05,9756.0,0.0
0.03,0.025,0.05,9851.0,0.0
0.03,0.025,0.05,9753.0,0.0
0.03,0.025,0.05,9713.0,0.0
0.03,0.025,0.05,9949.0,0.0
0.03,0.025,0.05,10036.0,0.0
0.03,0.025,0.05,10079.0,0.0
0.03,0.025,0.05,10228.0,0.0
0.03,0.025,0.05,9394.0,0.0
0.03,0.025,0.05,10167.0,0.0
0.03,0.025,0.05,10211.0,0.0
0.03,0.025,0.05,10004.0,0.0
0.03,0.025,0.05,10011.0,0.0
0.03,0.025,0.05,9767.0,0.0
0.03,0.025,0.05,9963.0,0.0
0.03,0.025,0.05,9973.0,0.0
0.03,0.025,0.05,9083.0,0.0
0.03,0.025,0.05,10106.0,0.0
0.03,0.025,0.05,9273.0,0.0
0.03,0.025,0.05,10654.0,0.0
0.03,0.025,0.05,10441.0,0.0
0.03,0.025,0.05,9307.0,0.0
0.03,0.025,0.05,10154.0,0.0
0.03,0.025,0.05,9413.0,0.0
0.03,0.025,0.05,9985.0,0.0
0.03,0.025,0.05,9658.0,0.0
0.03,0.025,0.05,9988.0,0.0
0.03,0.025,0.05,9588.0,0.0
0.03,0.025,0.055,10077.0,0.0
0.03,0.025,0.055,10187.0,0.0
0.03,0.025,0.055,10423.0,0.0
0.03,0.025,0.055,10271.0,0.0
0.03,0.025,0.055,10268.0,0.0
0.03,0.025,0.055,10100.0,0.0
0.03,0.025,0.055,9588.0,0.0
0.03,0.025,0.055,10052.0,0.0
0.03,0.025,0.055,10178.0,0.0
0.03,0.025,0.055,9500.0,0.0
0.03,0.025,0.055,10616.0,0.0
0.03,0.025,0.055,10022.0,0.0
0.03,0.025,0.055,10068.0,0.0
0.03,0.025,0.055,10388.0,0.0
0.03,0.025,0.055,10447.0,0.0
0.03,0.025,0.055,9539.0,0.0
0.03,0.025,0.055,9932.0,0.0
0.03,0.025,0.055,9724.0,0.0
0.03,0.025,0.055,9600.0,0.0
0.03,0.025,0.055,10149.0,0.0
0.03,0.025,0.055,9949.0,0.0
0.03,0.025,0.055,9837.0,0.0
0.03,0.025,0.055,10325.0,0.0
0.03,0.025,0.055,9970.0,0.0
0.03,0.025,0.055,9402.0,0.0
0.03,0.025,0.055,10321.0,0.0
0.03,0.025,0.055,10469.0,0.0
0.03,0.025,0.055,9004.0,0.0
0.03,0.025,0.055,10333.0,0.0
0.03,0.025,0.055,10797.0,0.0
0.03,0.025,0.06,10369.0,0.0
0.03,0.025,0.06,9872.0,0.0
0.03,0.025,0.06,10591.0,0.0
0.03,0.025,0.06,10463.0,0.0
0.03,0.025,0.06,10160.0,0.0
0.03,0.025,0.06,10310.0,0.0
