k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6
0.2,0.2,0.4,1,0.2,0.8,0.008,34.517,3.8616,0.2922,2.2112,1.9018
0.2,0.2,0.4,1,0.2,1,0.0094,35.0124,3.8602,0.145,2.558,1.555
0.2,0.2,0.4,1,0.4,0.2,0.0386,27.3032,3.831,5.581,0.2556,3.8574
0.2,0.2,0.4,1,0.4,0.4,0.0206,31.4104,3.849,2.1918,0.9916,3.1214
0.2,0.2,0.4,1,0.4,0.6,0.0094,33.5114,3.8602,0.7866,1.6986,2.4144
0.2,0.2,0.4,1,0.4,0.8,0.006,34.5486,3.8636,0.304,2.2566,1.8564
0.2,0.2,0.4,1,0.4,1,0.009,35.0186,3.8606,0.1432,2.5628,1.5502
0.2,0.2,0.4,1,0.6,0.2,0.0418,27.2806,3.8278,5.6124,0.2612,3.8518
0.2,0.2,0.4,1,0.6,0.4,0.0136,31.2552,3.856,2.327,0.9786,3.1344
0.2,0.2,0.4,1,0.6,0.6,0.0058,33.4438,3.8638,0.843,1.691,2.422
0.2,0.2,0.4,1,0.6,0.8,0.0086,34.5006,3.861,0.2988,2.2008,1.9122
0.2,0.2,0.4,1,0.6,1,0.0058,35.0212,3.8638,0.1498,2.5752,1.5378
0.2,0.2,0.4,1,0.8,0.2,0.0444,27.21,3.8252,5.71,0.2856,3.8274
0.2,0.2,0.4,1,0.8,0.4,0.0218,31.2848,3.8478,2.33,1.003,3.11
0.2,0.2,0.4,1,0.8,0.6,0.0118,33.5304,3.8578,0.7806,1.7092,2.4038
0.2,0.2,0.4,1,0.8,0.8,0.008,34.457,3.8616,0.3376,2.1966,1.9164
0.2,0.2,0.4,1,0.8,1,0.0098,35.036,3.8598,0.1494,2.5856,1.5274
0.2,0.2,0.4,1,1,0.2,0.0394,27.3154,3.8302,5.6086,0.2946,3.8184
0.2,0.2,0.4,1,1,0.4,0.0244,31.3322,3.8452,2.2776,0.9954,3.1176
0.2,0.2,0.4,1,1,0.6,0.0084,33.4132,3.8612,0.88,1.6948,2.4182
0.2,0.2,0.4,1,1,0.8,0.0064,34.4714,3.8632,0.3358,2.2108,1.9022
0.2,0.2,0.4,1,1,1,0.0076,35.0262,3.862,0.1582,2.5868,1.5262
0.2,0.2,0.6,0.2,0.2,0.2,0.142,20.6038,3.7276,12.2334,0.1052,4.0078
0.2,0.2,0.6,0.2,0.2,0.4,0.0932,26.0284,3.7764,7.1034,0.4486,3.6644
0.2,0.2,0.6,0.2,0.2,0.6,0.07,29.684,3.7996,3.9928,1.0168,3.0962
0.2,0.2,0.6,0.2,0.2,0.8,0.0512,32.0256,3.8184,2.0888,1.4732,2.6398
0.2,0.2,0.6,0.2,0.2,1,0.0364,33.3198,3.8332,1.18,1.8734,2.2396
0.2,0.2,0.6,0.2,0.4,0.2,0.1428,20.646,3.7268,12.2046,0.1178,3.9952
0.2,0.2,0.6,0.2,0.4,0.4,0.0972,25.9974,3.7724,7.1414,0.4516,3.6614
0.2,0.2,0.6,0.2,0.4,0.6,0.0606,29.7022,3.809,3.975,1.0266,3.0864
0.2,0.2,0.6,0.2,0.4,0.8,0.0494,31.9474,3.8202,2.1648,1.4728,2.6402
0.2,0.2,0.6,0.2,0.4,1,0.0368,33.352,3.8328,1.1388,1.864,2.249
0.2,0.2,0.6,0.2,0.6,0.2,0.148,20.5534,3.7216,12.3062,0.1216,3.9914
0.2,0.2,0.6,0.2,0.6,0.4,0.105,25.862,3.7646,7.308,0.475,3.638
0.2,0.2,0.6,0.2,0.6,0.6,0.0706,29.5096,3.799,4.1508,0.9998,3.1132
0.2,0.2,0.6,0.2,0.6,0.8,0.0494,31.8936,3.8202,2.2296,1.4838,2.6292
0.2,0.2,0.6,0.2,0.6,1,0.03,33.2654,3.8396,1.2432,1.8886,2.2244
