k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.6,1,0.8,0.24,1846.48,209.912,0.6875,188.887,23.33,0.237995,252691,6265.78,0.851974,7923.73,54.7981,-5.28712,1.83058,0.0350877,-0.108271,-0.0668672,-3978.36,17.7434,-1814.35,-148.529,8.91996,278.196,476.447,-22.9174,0.744987,-32.9578
0.2,0.2,0.2,0.6,1,1,0.2575,1847.88,209.895,0.7175,190.3,21.9175,0.276886,252867,6247.31,0.985157,7800.08,50.6824,-48.3062,11.0472,0.175683,-0.458396,0.77067,-3914.63,-35.5639,-1800.92,-223.711,19.3888,300.616,453.54,-20.7496,1.04932,30.9271
0.2,0.2,0.2,0.8,0.2,0.2,0.2875,1841.7,209.865,0.3925,183.765,28.4525,0.315633,252848,6250.09,0.424505,7878.27,78.7997,-59.4538,9.63791,0.119956,-2.51623,0.774342,-4049.83,-5.92904,-1741.64,-268.809,14.4667,152.715,603.495,-12.1181,1.21543,-22.2242
0.2,0.2,0.2,0.8,0.2,0.4,0.2525,1843.32,209.9,0.435,185.455,26.7625,0.269417,253062,6256.13,0.507043,7798.58,70.9685,-53.9676,6.64185,0.117957,0.679311,0.776911,-3998.77,2.25001,-1667.27,-373.967,9.34937,203.988,549.024,-13.6345,0.782769,21.5344
0.2,0.2,0.2,0.8,0.2,0.6,0.3025,1845.25,209.85,0.375,187.278,24.94,0.301748,252944,6252.17,0.450501,7843.78,63.7708,-52.5771,8.60188,0.0767544,-2.99894,0.672331,-3981.28,13.0163,-1696.94,-321.569,11.9837,227.147,529.648,-14.1745,1.01504,2.53048
0.2,0.2,0.2,0.8,0.2,0.8,0.2275,1846.96,209.925,0.345,189.035,23.1825,0.211272,253426,6256.09,0.40198,7846.11,58.7611,-34.6105,6.68628,0.0867293,0.731366,0.517274,-3967.95,-32.6186,-1517.34,-496.256,11.9407,256.689,496.53,-11.8818,1.05718,3.87079
0.2,0.2,0.2,0.8,0.2,1,0.25,1848.08,209.903,0.3825,190.162,22.055,0.263158,252871,6244.96,0.472375,7829.31,50.6787,-44.896,12.2274,0.109649,1.03446,1.05138,-3920.56,-21.4298,-1777.69,-236.18,15.5662,291.55,460.832,-15.556,1.48267,16.3143
0.2,0.2,0.2,0.8,0.4,0.2,0.2625,1841.48,209.89,0.4625,183.635,28.5825,0.274279,253003,6246.15,0.600094,7832.1,82.5245,-35.6201,11.6279,0.0888158,2.97575,1.24019,-4066.89,-40.0571,-1735.59,-289.481,10.1588,147.709,602.543,-16.2819,1.01062,-1.00239
0.2,0.2,0.2,0.8,0.4,0.4,0.2125,1843.88,209.94,0.42,186.045,26.1725,0.227914,253183,6256.59,0.534937,7841.63,69.5516,-28.589,6.42882,0.0984962,0.326253,0.647462,-4028.55,2.59584,-1610.04,-410.183,17.7546,208.582,544.913,-13.9187,1.81208,0.716529
0.2,0.2,0.2,0.8,0.4,0.6,0.24,1844.94,209.912,0.38,187.037,25.18,0.232982,253005,6259.61,0.411629,7862.23,66.2131,-44.0062,4.9183,0.119098,-3.75589,0.40782,-3988.76,-14.339,-1696.96,-317.243,7.46942,228.276,529.54,-11.2449,0.761003,-7.91153
