k1,k2,k3,k4,o1,o2,o3
0.035,0.03,0.055,0.1,9767.366667,0,7.966666667
0.035,0.03,0.055,0.3,9792.366667,0,8.3
0.035,0.03,0.06,0.03,10041.8,0,7.933333333
0.035,0.03,0.06,0.1,10132.96667,0,6.366666667
0.035,0.03,0.06,0.3,10054.63333,0,7.3
0.035,0.035,0.03,0.03,1643.033333,2133.866667,386.5333333
0.035,0.035,0.03,0.1,1457.5,1714.7,586.3
0.035,0.035,0.03,0.3,2644.333333,940.3,765.0666667
0.035,0.035,0.035,0.03,3360.4,1698.6,421.0333333
0.035,0.035,0.035,0.1,3541.6,1556.766667,562.5666667
0.035,0.035,0.035,0.3,5776.866667,494.4333333,435.7
0.035,0.035,0.04,0.03,7691.566667,434.8666667,127.3
0.035,0.035,0.04,0.1,7385.966667,474.0666667,205.7333333
0.035,0.035,0.04,0.3,8454.566667,57.06666667,69.86666667
0.035,0.035,0.045,0.03,8978.333333,128.0666667,57.23333333
0.035,0.035,0.045,0.1,9314.366667,0.066666667,12.16666667
0.035,0.035,0.045,0.3,9435.833333,0,10.46666667
0.035,0.035,0.05,0.03,9809.933333,0,7.933333333
0.035,0.035,0.05,0.1,9733.2,0,8.666666667
0.035,0.035,0.05,0.3,9784.5,0,8.6
0.035,0.035,0.055,0.03,9923.7,0,7.933333333
0.035,0.035,0.055,0.1,10026.96667,0,6.833333333
0.035,0.035,0.055,0.3,10068.1,0,6.366666667
0.035,0.035,0.06,0.03,10158.96667,0,6.3
0.035,0.035,0.06,0.1,10264.6,0,7.233333333
0.035,0.035,0.06,0.3,10207.93333,0,6.1
0.035,0.04,0.03,0.03,1973.366667,1957.366667,407.2666667
0.035,0.04,0.03,0.1,2061.4,1584.5,590.2333333
0.035,0.04,0.03,0.3,3245.933333,777.2666667,716.0333333
0.035,0.04,0.035,0.03,5940.533333,978.7333333,243.7333333
0.035,0.04,0.035,0.1,5757.8,947.6333333,373.1666667
0.035,0.04,0.035,0.3,6799.7,348.8,320.8333333
0.035,0.04,0.04,0.03,8216.533333,229.8,75.46666667
0.035,0.04,0.04,0.1,8349.966667,225.2666667,120.5333333
0.035,0.04,0.04,0.3,9051.133333,0.133333333,12.13333333
0.035,0.04,0.045,0.03,9661.5,0.033333333,7.6
0.035,0.04,0.045,0.1,9532.1,0.066666667,8.533333333
0.035,0.04,0.045,0.3,9459.1,0,9.2
0.035,0.04,0.05,0.03,9851.666667,0,8.066666667
0.035,0.04,0.05,0.1,9911.7,0,7.7
0.035,0.04,0.05,0.3,9785.7,0,7.833333333
0.035,0.04,0.055,0.03,10049.4,0,6.8
0.035,0.04,0.055,0.1,10137.43333,0,7.9
0.035,0.04,0.055,0.3,10159.73333,0,7.566666667
0.035,0.04,0.06,0.03,10255.86667,0,6.066666667
0.035,0.04,0.06,0.1,10256.06667,0,6.3
0.035,0.04,0.06,0.3,10286.6,0,6.033333333
0.035,0.045,0.03,0.03,2466.133333,1901.866667,416.1333333
0.035,0.045,0.03,0.1,3317.2,1395.2,548.4666667
0.035,0.045,0.03,0.3,4845.1,565.9,568.6666667
0.035,0.045,0.035,0.03,6670.166667,673.9333333,199.7333333
0.035,0.045,0.035,0.1,7671.533333,372.3,166.4666667
0.035,0.045,0.035,0.3,8347.766667,70.33333333,91.53333333
0.035,0.045,0.04,0.03,8955.6,129.7333333,50.9
0.035,0.045,0.04,0.1,8726.333333,104.4,67.66666667
0.035,0.045,0.04,0.3,9211.566667,29.7,41.33333333
0.035,0.045,0.045,0.03,9748.4,0,7.666666667
0.035,0.045,0.045,0.1,9800.3,0.1,8.766666667
0.035,0.045,0.045,0.3,9865.933333,0,7.1
0.035,0.045,0.05,0.03,9981.833333,0,7.166666667
0.035,0.045,0.05,0.1,10056.23333,0,6.466666667
0.035,0.045,0.05,0.3,10084.43333,0,6.2
0.035,0.045,0.055,0.03,10205.16667,0,5.833333333
0.035,0.045,0.055,0.1,10134.63333,0,6.833333333
0.035,0.045,0.055,0.3,10198.7,0,6.266666667
0.035,0.045,0.06,0.03,10319.73333,0,5.6
0.035,0.045,0.06,0.1,10312.8,0,6.6
0.035,0.045,0.06,0.3,10396.56667,0,5.866666667
0.035,0.05,0.03,0.03,4856.566667,1306.2,325.2
0.035,0.05,0.03,0.1,4938.233333,932.9333333,420.1333333
0.035,0.05,0.03,0.3,6597.166667,255.4333333,295.1333333
0.035,0.05,0.035,0.03,8003.9,412.0666667,130.8
0.035,0.05,0.035,0.1,8398.666667,109.2333333,63.1
0.035,0.05,0.035,0.3,8900.4,0.3,15.36666667
0.035,0.05,0.04,0.03,9344.933333,74.03333333,27.63333333
0.035,0.05,0.04,0.1,9366.633333,58.46666667,32.26666667
0.035,0.05,0.04,0.3,9416.033333,0,9.733333333
0.035,0.05,0.045,0.03,9773.366667,0,8.4
0.035,0.05,0.045,0.1,9846.6,0,7.166666667
0.035,0.05,0.045,0.3,9963.1,0,7.166666667
0.035,0.05,0.05,0.03,10067.33333,0,6.833333333
0.035,0.05,0.05,0.1,10139.56667,0,6.133333333
0.035,0.05,0.05,0.3,10222.36667,0,5.833333333
0.035,0.05,0.055,0.03,10235.1,0,6.666666667
0.035,0.05,0.055,0.1,10373.43333,0,6.166666667
0.035,0.05,0.055,0.3,10368.76667,0,5.133333333
0.035,0.05,0.06,0.03,10437.66667,0,5.566666667
0.035,0.05,0.06,0.1,10333.66667,0,5.466666667
0.035,0.05,0.06,0.3,10453.83333,0,4.2
0.035,0.055,0.03,0.03,4938.033333,1232.466667,331.9
0.035,0.055,0.03,0.1,5022.166667,1016.966667,482.0333333
0.035,0.055,0.03,0.3,7892.3,68.83333333,101.8666667
0.035,0.055,0.035,0.03,8517.166667,274.7666667,89.6
0.035,0.055,0.035,0.1,9226.666667,0,10.36666667
0.035,0.055,0.035,0.3,9089.133333,0.733333333,16.53333333
0.035,0.055,0.04,0.03,9517.533333,45.7,17.06666667
0.035,0.055,0.04,0.1,9743.833333,0,7.733333333
0.035,0.055,0.04,0.3,9613.966667,0,8.066666667
0.035,0.055,0.045,0.03,10030.43333,0,6.666666667
0.035,0.055,0.045,0.1,9882.433333,0,6.9
0.035,0.055,0.045,0.3,10006.7,0,6.166666667
0.035,0.055,0.05,0.03,10241.83333,0,5.9
0.035,0.055,0.05,0.1,10222.2,0,5.833333333
0.035,0.055,0.05,0.3,10209.3,0,7.133333333
0.035,0.055,0.055,0.03,10335.8,0,6.066666667
0.035,0.055,0.055,0.1,10324,0,5.6
0.035,0.055,0.055,0.3,10348.83333,0,6.133333333
0.035,0.055,0.06,0.03,10479.16667,0,5.7
0.035,0.055,0.06,0.1,10443.16667,0,4.666666667
0.035,0.055,0.06,0.3,10514.76667,0,5.333333333
0.035,0.06,0.03,0.03,5817.766667,1099.233333,299.4666667
0.035,0.06,0.03,0.1,6370.366667,635.6333333,333.9333333
0.035,0.06,0.03,0.3,8441.1,25.4,50.93333333
0.035,0.06,0.035,0.03,8834.633333,193.2666667,74.86666667
0.035,0.06,0.035,0.1,9225.166667,1.333333333,13.33333333
0.035,0.06,0.035,0.3,9361.1,0,9.633333333
0.035,0.06,0.04,0.03,9784.166667,0,7.6
