k1,k2,k3,o1,o2
0.05,0.040166667,0.059,9232.466667,20.86666667
0.05,0.045,0.030166667,825.1333333,1180.866667
0.05,0.045,0.035166667,1850.6,1412.833333
0.05,0.045,0.040166667,4002.233333,1092.233333
0.05,0.045,0.045166667,5612.9,914.3666667
0.05,0.045,0.050166667,8416.5,153.2666667
0.05,0.045,0.055166667,8714.5,107.2
0.05,0.045166667,0.059,9354.733333,63.76666667
0.05,0.05,0.030166667,1180.533333,1127.9
0.05,0.05,0.035166667,1721.733333,1366.2
0.05,0.05,0.040166667,4428.333333,994.7333333
0.05,0.05,0.045166667,7738.833333,235.2333333
0.05,0.05,0.050166667,8367.5,203.5
0.05,0.05,0.055166667,9387.7,0.166666667
0.05,0.050166667,0.059,9394,58.5
0.05,0.055,0.030166667,1185.033333,1240.4
0.05,0.055,0.035166667,3057.366667,1176.933333
0.05,0.055,0.040166667,5806.833333,694.0333333
0.05,0.055,0.045166667,8512.466667,128.5666667
0.05,0.055,0.050166667,8973.166667,48.2
0.05,0.055,0.055166667,9622.533333,0
0.05,0.055166667,0.059,9576.566667,47.4
0.05,0.06,0.030166667,1563.533333,1244.3
0.05,0.06,0.035166667,3311.433333,1115.633333
0.05,0.06,0.040166667,7752.066667,179.9
0.05,0.06,0.045166667,9071.166667,0.066666667
0.05,0.06,0.050166667,9357.7,32.93333333
0.05,0.06,0.055166667,9856.633333,0
0.050166667,0.058666667,0.059,9704.766667,53.03333333
0.055,0.02,0.030166667,135.1333333,1250.666667
0.055,0.02,0.035166667,305.1,1484
0.055,0.02,0.040166667,523.6666667,1566.266667
0.055,0.02,0.045166667,743.2,1780.033333
0.055,0.02,0.050166667,1411.133333,1873.766667
0.055,0.02,0.055166667,1874.3,1843.1
0.055,0.020166667,0.059,2583.4,1773.4
0.055,0.025,0.030166667,198.6666667,1285.066667
0.055,0.025,0.035166667,405.0666667,1458.833333
0.055,0.025,0.040166667,678.7,1587.766667
0.055,0.025,0.045166667,1143.2,1648.833333
0.055,0.025,0.050166667,2333.7,1651.833333
0.055,0.025,0.055166667,3315.3,1480.7
0.055,0.025166667,0.059,4834.7,1214.133333
0.055,0.03,0.030166667,259.4333333,1187.433333
0.055,0.03,0.035166667,513.4,1427.366667
0.055,0.03,0.040166667,882.8333333,1533.833333
0.055,0.03,0.045166667,1509.166667,1620.266667
0.055,0.03,0.050166667,2432.266667,1578.8
0.055,0.03,0.055166667,4062,1360.6
0.055,0.030166667,0.059,6959.066667,530.5333333
0.055,0.035,0.030166667,315.3,1173.533333
0.055,0.035,0.035166667,652.8333333,1277.066667
0.055,0.035,0.040166667,1265.5,1509.6
0.055,0.035,0.045166667,1849.666667,1558.566667
0.055,0.035,0.050166667,3877.266667,1243.3
0.055,0.035,0.055166667,5605.833333,836.6
0.055,0.035166667,0.059,7495,407.3333333
