k1,k2,o1
0.0594,0.68,990.6
0.0594,0.7000000000000001,990.8
0.0594,0.72,992.4
0.0594,0.74,982.2
0.0594,0.76,985.8
0.0594,0.78,1004.2
0.00594,0.08,937.0
0.0594,0.8,998.8
0.0594,0.8200000000000001,980.8
0.0594,0.84,984.8
0.0594,0.86,993.8
0.0594,0.88,988.6
0.0594,0.9,994.8
0.0594,0.92,987.6
0.0594,0.9400000000000001,991.2
0.0594,0.96,998.8
0.0594,0.98,993.0
0.00594,0.1,938.2
0.06138,0.0,995.4
0.06138,0.02,993.4
0.06138,0.04,980.0
0.06138,0.06,987.0
0.06138,0.08,1006.2
0.06138,0.1,996.4
0.06138,0.12,989.6
0.06138,0.14,982.2
0.06138,0.16,986.0
0.06138,0.18,996.2
0.00594,0.12,920.0
0.06138,0.2,1002.8
0.06138,0.22,986.2
0.06138,0.24,999.8
0.06138,0.26,980.8
0.06138,0.28,996.2
0.06138,0.3,980.6
0.06138,0.32,998.8
0.06138,0.34,995.6
0.06138,0.36,1007.0
0.06138,0.38,972.4
0.00594,0.14,929.0
0.06138,0.4,982.6
0.06138,0.42,982.2
0.06138,0.44,999.0
0.06138,0.46,999.8
0.06138,0.48,1008.6
0.06138,0.5,999.6
0.06138,0.52,985.2
0.06138,0.54,988.0
0.06138,0.56,978.2
0.06138,0.58,985.0
0.00594,0.16,940.0
0.06138,0.6,985.2
0.06138,0.62,996.4
0.06138,0.64,991.2
0.06138,0.66,974.6
0.06138,0.68,999.0
0.06138,0.7000000000000001,970.8
0.06138,0.72,990.0
0.06138,0.74,996.0
0.06138,0.76,982.0
0.06138,0.78,994.0
0.00594,0.18,947.0
0.06138,0.8,982.4
0.06138,0.8200000000000001,980.8
0.06138,0.84,993.8
0.06138,0.86,988.6
0.06138,0.88,988.8
0.06138,0.9,990.6
0.06138,0.92,1002.0
0.06138,0.9400000000000001,994.8
0.06138,0.96,988.0
0.06138,0.98,971.6
0.0,0.32,0.0
0.00594,0.2,935.6
0.06336,0.0,1009.0
0.06336,0.02,991.0
0.06336,0.04,998.2
0.06336,0.06,987.6
0.06336,0.08,970.8
0.06336,0.1,974.2
0.06336,0.12,1003.2
0.06336,0.14,990.2
0.06336,0.16,994.6
0.06336,0.18,1006.2
0.00594,0.22,943.6
0.06336,0.2,981.0
0.06336,0.22,991.4
0.06336,0.24,977.0
0.06336,0.26,983.0
0.06336,0.28,1003.2
0.06336,0.3,987.2
0.06336,0.32,977.0
0.06336,0.34,990.8
0.06336,0.36,1011.4
0.06336,0.38,986.8
0.00594,0.24,928.8
0.06336,0.4,995.0
0.06336,0.42,998.6
0.06336,0.44,992.8
0.06336,0.46,988.8
0.06336,0.48,977.8
0.06336,0.5,981.0
0.06336,0.52,999.6
0.06336,0.54,987.8
0.06336,0.56,990.6
0.06336,0.58,992.6
0.00594,0.26,932.2
0.06336,0.6,980.2
0.06336,0.62,992.0
0.06336,0.64,1002.0
0.06336,0.66,993.4
0.06336,0.68,984.2
0.06336,0.7000000000000001,971.6
0.06336,0.72,989.4
0.06336,0.74,995.4
0.06336,0.76,1000.4
0.06336,0.78,995.0
0.00594,0.28,940.6
0.06336,0.8,1007.4
0.06336,0.8200000000000001,999.4
0.06336,0.84,982.6
0.06336,0.86,996.6
0.06336,0.88,978.6
0.06336,0.9,974.6
0.06336,0.92,976.6
0.06336,0.9400000000000001,1008.4
0.06336,0.96,988.2
0.06336,0.98,985.0
0.00594,0.3,934.2
0.06534,0.0,1005.6
0.06534,0.02,993.8
0.06534,0.04,989.8
0.06534,0.06,980.6
0.06534,0.08,1000.0
0.06534,0.1,992.0
0.06534,0.12,990.2
0.06534,0.14,985.2
0.06534,0.16,984.8
0.06534,0.18,1001.2
0.00594,0.32,923.0
0.06534,0.2,997.6
0.06534,0.22,972.8
0.06534,0.24,987.8
0.06534,0.26,989.6
0.06534,0.28,990.8
0.06534,0.3,994.8
0.06534,0.32,997.2
0.06534,0.34,982.2
0.06534,0.36,988.4
0.06534,0.38,991.0
0.00594,0.34,926.8
0.06534,0.4,984.0
0.06534,0.42,988.8
0.06534,0.44,1006.8
0.06534,0.46,988.6
0.06534,0.48,994.0
0.06534,0.5,984.0
0.06534,0.52,994.2
0.06534,0.54,985.6
0.06534,0.56,984.6
0.06534,0.58,999.8
0.00594,0.36,945.2
0.06534,0.6,989.2
0.06534,0.62,979.2
0.06534,0.64,991.6
0.06534,0.66,983.2
0.06534,0.68,996.2
0.06534,0.7000000000000001,971.6
0.06534,0.72,987.4
0.06534,0.74,989.6
0.06534,0.76,1007.0
0.06534,0.78,981.2
0.00594,0.38,932.8
0.06534,0.8,984.4
0.06534,0.8200000000000001,983.4
0.06534,0.84,994.0
0.06534,0.86,977.2
0.06534,0.88,988.6
0.06534,0.9,989.4
0.06534,0.92,986.8
0.06534,0.9400000000000001,990.6
0.06534,0.96,995.2
0.06534,0.98,980.2
0.0,0.34,0.0
0.00594,0.4,947.4
0.06732,0.0,972.2
0.06732,0.02,1009.0
0.06732,0.04,1000.6
0.06732,0.06,982.2
0.06732,0.08,990.2
0.06732,0.1,994.6
0.06732,0.12,981.0
0.06732,0.14,972.8
0.06732,0.16,999.4
0.06732,0.18,990.6
0.00594,0.42,918.2
0.06732,0.2,995.6
0.06732,0.22,993.4
0.06732,0.24,974.8
0.06732,0.26,981.2
0.06732,0.28,983.2
0.06732,0.3,993.6
0.06732,0.32,977.6
0.06732,0.34,978.0
0.06732,0.36,987.4
0.06732,0.38,983.8
0.00594,0.44,948.6
0.06732,0.4,984.0
0.06732,0.42,988.8
0.06732,0.44,981.6
0.06732,0.46,978.0
0.06732,0.48,970.8
0.06732,0.5,967.8
0.06732,0.52,980.0
0.06732,0.54,986.2
0.06732,0.56,969.0
0.06732,0.58,1002.8
