kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.5,0.0644976,0.129988,0.490095,0.112463,0.440963,5.8064,8.1038,12.9262,35.6344,81.5497,318.533,16.4094,21.6989,40.2951
0.5,0.552484,0.143024,0.138898,0.140125,0.768177,6.98,8.4076,11.4488,50.3997,78.7156,221.37,16.9966,23.9996,80.0233
0.5,0.308244,0.458996,0.259678,0.690507,0.107466,10.293,8.7972,7.7462,80.492,90.885,139.504,41.4287,61.8765,37.516
0.5,0.966242,0.360735,0.428969,0.474235,0.0667072,8.5048,12.1812,6.1504,57.257,147.944,88.0494,49.7669,33.439,66.4308
0.5,0.398244,0.764434,0.156621,0.882895,0.805507,12.4774,5.8986,8.4604,112.392,41.1401,125.341,39.1076,79.5979,38.1199
0.5,0.634001,0.743221,0.139627,0.693896,0.111898,11.7636,8.4214,6.6514,99.5676,77.5981,105.167,53.3019,58.8752,42.9185
0.5,0.711935,0.357168,0.337151,0.812883,0.510905,10.113,9.4666,7.2568,81.4797,91.4392,94.2517,49.6714,55.6539,57.3514
0.5,0.58037,0.125449,0.868752,0.418502,0.735126,6.2566,10.3568,10.223,34.434,95.743,170.351,29.1681,38.35,78.4799
0.5,0.287569,0.927184,0.525048,0.993867,0.395849,12.041,7.2994,7.496,104.169,55.446,111.892,50.4064,74.7774,35.3252
0.5,0.0356369,0.646736,0.0605777,0.627362,0.29545,11.4624,5.8048,9.5692,94.6007,53.5658,199.311,28.62,75.4879,18.4152
0.5,0.311769,0.643881,0.0601495,0.551514,0.0115908,11.177,7.7634,7.896,91.2651,77.1805,154.797,41.5332,60.2631,32.8448
0.5,0.825954,0.835168,0.0684961,0.359874,0.502512,10.9718,7.6566,8.208,85.8762,64.4688,132.949,43.4012,51.6928,59.5211
0.5,0.959469,0.662358,0.808794,0.862418,0.228466,9.7408,11.3804,5.7152,72.5549,114.15,67.8501,67.0646,46.3663,55.5538
0.5,0.331426,0.98771,0.867434,0.556351,0.852337,9.4646,7.0032,10.3686,63.8651,43.992,180.383,37.8843,65.2918,48.9658
0.5,0.0724558,0.644703,0.253797,0.921834,0.28452,11.92,6.6874,8.229,105.489,59.762,143.927,36.9174,81.6436,23.112
0.5,0.178629,0.963793,0.239987,0.295181,0.441466,10.134,5.7698,10.9326,75.0034,40.869,237.945,31.7794,54.2673,33.3065
0.5,0.679962,0.863295,0.492983,0.155105,0.219204,8.8398,9.2052,8.7914,58.2174,80.2095,170.968,42.9113,32.3909,66.2625
0.5,0.0653152,0.935199,0.0128175,0.0994717,0.442146,9.5676,4.6998,12.569,75.6522,34.2285,323.624,24.2418,31.4541,23.8138
0.5,0.955608,0.117391,0.903647,0.826969,0.84484,7.4948,11.35,7.9916,49.4463,112.431,95.165,46.0104,46.085,75.6457
0.5,0.213563,0.729036,0.408004,0.348305,0.669188,9.1898,6.3662,11.2804,63.1304,46.3606,225.427,30.3418,56.2194,42.2418
0.5,0.838473,0.173084,0.665682,0.580656,0.527984,7.4762,11.3932,7.967,47.026,119.609,112.757,40.9513,40.5048,75.1096
0.5,0.844812,0.52748,0.431085,0.0961301,0.868604,7.3916,8.7938,10.651,46.1699,76.3017,186.358,28.4826,27.4372,85.9272
0.5,0.18134,0.72605,0.610141,0.179547,0.666734,7.7462,6.654,12.4362,48.1154,47.3225,276.074,27.4041,40.1043,42.9975
0.5,0.136815,0.623005,0.710493,0.407162,0.786057,8.2314,6.777,11.828,50.4567,47.8208,237.016,29.2475,56.8714,42.4963
0.5,0.70172,0.541697,0.755945,0.096814,0.717989,6.6322,9.4284,10.7758,37.5188,80.3745,198.401,29.5287,26.4594,82.1269
