kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
1,0.2,0.2,0.8,1,1,9.742,7.378,7.838,65.4383,38.2155,46.6891,37.4364,44.3569,34.1395
1,0.2,0.2,1,0.2,0.2,4.63,11.25,9.078,13.0953,101.799,92.9498,23.3412,17.9588,45.8823
1,0.2,0.2,1,0.2,0.4,4.488,10.08,10.39,14.3305,75.3603,108.884,21.7324,19.3103,50.7743
1,0.2,0.2,1,0.2,0.6,4.692,8.594,11.672,16.5863,59.2116,121.407,20.8907,23.7926,47.8185
1,0.2,0.2,1,0.2,0.8,4.71,7.634,12.614,15.7213,44.0842,132.662,16.6071,28.4089,49.8544
1,0.2,0.2,1,0.2,1,4.688,6.816,13.454,15.5137,35.8739,147.162,15.7341,26.4806,49.6148
1,0.2,0.2,1,0.4,0.2,5.574,11.66,7.724,22.6218,92.7178,70.6131,31.1094,25.6718,41.3469
1,0.2,0.2,1,0.4,0.4,5.708,10.27,8.98,21.5979,76.0171,81.21,25.3696,28.7637,47.5585
1,0.2,0.2,1,0.4,0.6,5.728,9.076,10.154,21.7455,56.3429,95.0524,24.3674,32.2444,47.9221
1,0.2,0.2,1,0.4,0.8,5.714,8.328,10.916,20.3489,50.6698,103.099,22.8876,31.2845,49.8733
1,0.2,0.2,1,0.4,1,5.814,7.184,11.96,22.7649,36.6514,111.818,21.4571,36.6218,47.4082
1,0.2,0.2,1,0.6,0.2,6.604,11.908,6.446,31.398,103.146,46.2997,36.0697,28.1329,36.48
1,0.2,0.2,1,0.6,0.4,6.814,10.678,7.466,30.9734,82.6717,57.1792,35.0422,30.9025,39.7475
1,0.2,0.2,1,0.6,0.6,6.916,9.448,8.594,32.4539,65.7989,64.6745,31.6569,33.6392,44.3446
1,0.2,0.2,1,0.6,0.8,7.048,8.408,9.502,34.3704,50.2059,72.7715,29.5776,39.2244,43.6284
1,0.2,0.2,1,0.6,1,7.068,7.62,10.27,33.4543,41.9194,80.6945,27.3666,41.1319,44.5717
1,0.2,0.2,1,0.8,0.2,7.032,12.438,5.488,35.522,112.315,35.6812,39.6272,26.0324,33.6856
1,0.2,0.2,1,0.8,0.4,7.446,11.08,6.432,33.0652,89.2922,40.0735,40.4272,28.1737,41.288
1,0.2,0.2,1,0.8,0.6,7.66,9.558,7.74,41.5675,63.5738,48.1447,36.4145,36.0437,42.0031
1,0.2,0.2,1,0.8,0.8,7.86,8.582,8.516,39.7158,50.4402,59.9977,34.3261,38.385,43.3163
1,0.2,0.2,1,0.8,1,7.97,7.884,9.104,41.5682,44.3753,65.2196,32.2651,41.0793,42.1784
1,0.2,0.2,1,1,0.2,7.638,12.716,4.604,42.0951,112.757,26.3519,45.9391,24.66,29.9033
1,0.2,0.2,1,1,0.4,8.06,11.194,5.704,44.4453,90.5976,28.5615,45.5675,27.4106,36.3241
1,0.2,0.2,1,1,0.6,8.178,10.046,6.734,49.5254,68.3606,36.5604,43.7613,33.8951,36.2247
1,0.2,0.2,1,1,0.8,8.5,9.138,7.32,48.1944,60.2915,44.6389,38.7004,37.4689,38.3726
1,0.2,0.2,1,1,1,8.976,8.076,7.906,54.4964,44.1786,49.8048,37.6571,42.3545,36.8528
1,0.2,0.4,0.2,0.2,0.2,9.19,7.114,8.654,52.1021,52.7224,93.7939,31.4472,31.2863,29.0616
1,0.2,0.4,0.2,0.2,0.4,8.984,6.136,9.838,50.2803,36.5827,105.094,25.8158,36.1257,33.1844
1,0.2,0.4,0.2,0.2,0.6,8.796,5.636,10.526,48.3872,33.7029,114.29,23.9216,35.7889,33.2039
1,0.2,0.4,0.2,0.2,0.8,8.966,4.7,11.292,49.3796,24.7034,123.049,19.8555,39.7414,32.9415
1,0.2,0.4,0.2,0.2,1,8.646,4.248,12.064,45.636,17.0326,137.351,16.8094,42.2071,32.0783
1,0.2,0.4,0.2,0.4,0.2,10.592,7.154,7.212,63.0997,50.1025,66.8768,36.4678,38.5576,26.0394
1,0.2,0.4,0.2,0.4,0.4,10.612,6.28,8.066,68.791,40.9355,63.8093,33.0768,43.3583,27.9013
1,0.2,0.4,0.2,0.4,0.6,10.662,5.268,9.028,64.9657,28.0763,80.869,27.4314,47.6628,29.0546
1,0.2,0.4,0.2,0.4,0.8,10.574,4.65,9.734,66.3212,23.5065,91.2578,24.7444,49.4035,26.4137
1,0.2,0.4,0.2,0.4,1,10.55,4.206,10.202,66.3402,16.4725,92.9792,21.5298,54.9528,26.7258
1,0.2,0.4,0.2,0.6,0.2,11.702,7.138,6.118,83.0353,51.8346,41.1303,42.1715,40.0733,20.8594
1,0.2,0.4,0.2,0.6,0.4,11.808,6.244,6.906,80.5402,39.3151,50.923,37.7924,42.7294,25.1933
1,0.2,0.4,0.2,0.6,0.6,12.01,5.4,7.548,84.2103,29.6834,55.1821,32.1383,48.76,25.6681
1,0.2,0.4,0.2,0.6,0.8,12.022,4.566,8.37,80.6228,21.9536,67.9089,27.4865,53.7293,24.6459
1,0.2,0.4,0.2,0.6,1,12.07,4.242,8.646,79.1714,18.9894,69.5197,27.0832,54.2653,25.9155
1,0.2,0.4,0.2,0.8,0.2,12.788,7.002,5.168,97.5622,50.4469,32.0318,43.4373,38.2501,19.3965
1,0.2,0.4,0.2,0.8,0.4,12.846,6.18,5.932,92.5394,40.5166,38.1076,39.9596,42.7049,22.858
1,0.2,0.4,0.2,0.8,0.6,12.992,5.312,6.654,95.6993,25.65,50.1426,32.5195,51.3078,21.531
1,0.2,0.4,0.2,0.8,0.8,13.15,4.758,7.05,99.6708,23.9834,46.8131,31.856,50.9584,23.0562
1,0.2,0.4,0.2,0.8,1,13.184,4.172,7.602,96.439,20.0185,54.2681,27.6657,54.9511,23.1247
1,0.2,0.4,0.2,1,0.2,13.642,7.032,4.284,112.471,48.9168,22.5044,46.8512,36.9456,15.3616
1,0.2,0.4,0.2,1,0.4,13.742,6.24,4.976,114.917,37.0004,28.5205,39.7554,43.8655,17.2643
1,0.2,0.4,0.2,1,0.6,13.938,5.466,5.554,112.748,31.572,30.2957,38.3416,46.1567,19.2984
1,0.2,0.4,0.2,1,0.8,14.29,4.782,5.886,118.976,23.0165,35.9569,33.4321,50.6283,18.0693
1,0.2,0.4,0.2,1,1,14.462,4.188,6.308,119.552,17.0748,40.8228,30.2496,53.643,18.4871
1,0.2,0.4,0.4,0.2,0.2,8.054,8,8.904,42.2476,56.9018,98.131,33.5752,27.6785,31.2104
1,0.2,0.4,0.4,0.2,0.4,7.698,7.254,10.006,38.6601,48.5987,101.385,28.9185,32.1221,35.742
1,0.2,0.4,0.4,0.2,0.6,7.784,6.254,10.92,39.2198,31.0235,119.42,23.5379,35.7462,36.9883
1,0.2,0.4,0.4,0.2,0.8,7.774,5.474,11.71,36.6923,27.0835,128.006,19.2556,37.2389,38.7189
1,0.2,0.4,0.4,0.2,1,7.804,4.918,12.236,37.5206,21.3941,133.583,18.4669,42.2147,34.1737
1,0.2,0.4,0.4,0.4,0.2,9.43,8.136,7.392,52.8428,58.0296,66.1667,37.6789,35.2319,29.674
1,0.2,0.4,0.4,0.4,0.4,9.37,7.168,8.42,52.1093,44.3966,77.9154,33.3245,39.8764,30.6928
1,0.2,0.4,0.4,0.4,0.6,9.314,6.436,9.208,53.3381,36.054,80.642,28.8428,44.5518,32.6927
1,0.2,0.4,0.4,0.4,0.8,9.572,5.422,9.964,58.1371,26.549,85.2973,28.0968,48.694,29.3218
1,0.2,0.4,0.4,0.4,1,9.596,4.938,10.424,53.9326,22.3468,94.5173,24.1192,50.3861,31.2007
1,0.2,0.4,0.4,0.6,0.2,10.458,8.298,6.202,70.369,54.0293,45.8369,43.9654,38.5245,23.4968
1,0.2,0.4,0.4,0.6,0.4,10.406,7.298,7.254,68.6625,45.9651,52.3422,37.9008,42.2754,27.4432
1,0.2,0.4,0.4,0.6,0.6,10.414,6.54,8.004,68.3473,37.0585,54.8497,36.6036,45.6336,28.7393
1,0.2,0.4,0.4,0.6,0.8,10.744,5.816,8.398,66.6758,31.7216,62.8934,32.4979,49.062,28.899
1,0.2,0.4,0.4,0.6,1,10.748,5.152,9.058,65.7079,22.4217,78.3914,27.0845,52.5998,28.1595
1,0.2,0.4,0.4,0.8,0.2,11.298,8.548,5.112,74.3739,66.7051,34.1478,45.4977,35.5738,22.4195
1,0.2,0.4,0.4,0.8,0.4,11.602,7.218,6.138,77.1258,46.4514,41.3857,41.9707,40.8346,25.8176
1,0.2,0.4,0.4,0.8,0.6,11.642,6.49,6.826,81.1521,35.2324,46.5488,36.1317,46.625,26.881
1,0.2,0.4,0.4,0.8,0.8,11.584,5.874,7.5,86.6603,28.5432,50.3868,33.9174,49.5271,24.8647
1,0.2,0.4,0.4,0.8,1,11.898,5.034,8.026,81.3784,22.558,57.7127,31.0997,53.4936,25.6865
1,0.2,0.4,0.4,1,0.2,12.082,8.532,4.344,91.1696,60.9108,22.2101,50.9242,33.7733,19.2615
1,0.2,0.4,0.4,1,0.4,12.23,7.536,5.192,91.1875,50.7502,26.6965,47.3735,37.6131,21.8007
1,0.2,0.4,0.4,1,0.6,12.506,6.562,5.89,97.9739,34.6074,32.1742,43.2501,43.9856,21.4908
1,0.2,0.4,0.4,1,0.8,12.652,5.9,6.406,93.4939,30.8317,36.7707,38.915,47.7167,23.9244
1,0.2,0.4,0.4,1,1,12.864,5.22,6.874,101.685,21.9675,41.8458,34.6693,52.6161,21.0699
1,0.2,0.4,0.6,0.2,0.2,7.104,9.034,8.82,35.0874,67.1792,91.8112,32.5696,27.7242,33.7717
1,0.2,0.4,0.6,0.2,0.4,6.92,7.746,10.292,30.214,52.278,106.993,29.1059,26.9533,40.3028
1,0.2,0.4,0.6,0.2,0.6,6.994,6.802,11.162,32.0741,38.6721,117.675,24.3154,31.4198,41.1584
1,0.2,0.4,0.6,0.2,0.8,7.006,6.03,11.922,31.4889,31.5322,125.904,21.4247,33.4113,41.806
1,0.2,0.4,0.6,0.2,1,6.608,5.422,12.928,31.0204,24.4689,134.78,18.6487,37.8334,39.4874
1,0.2,0.4,0.6,0.4,0.2,8.234,9.268,7.456,40.6205,68.389,70.8618,37.0454,31.5985,32.5248
1,0.2,0.4,0.6,0.4,0.4,8.29,8.068,8.6,40.3867,51.5505,78.7094,33.2648,37.0421,35.4741
1,0.2,0.4,0.6,0.4,0.6,8.478,7.074,9.406,42.9915,37.8041,86.6304,28.6058,41.8196,36.9659
1,0.2,0.4,0.6,0.4,0.8,8.374,6.42,10.164,45.1164,32.693,85.7246,27.9929,45.4195,35.925
1,0.2,0.4,0.6,0.4,1,8.306,5.73,10.922,41.2068,26.1614,103.483,23.8423,46.2504,35.5861
1,0.2,0.4,0.6,0.6,0.2,9.312,9.22,6.426,53.9145,69.5066,47.9043,42.7829,34.5322,28.1265
1,0.2,0.4,0.6,0.6,0.4,9.344,8.462,7.152,52.2221,56.0607,55.3356,39.0592,38.4506,31.7853
1,0.2,0.4,0.6,0.6,0.6,9.51,7.436,8.012,54.5991,41.1242,64.4327,34.5788,43.5189,32.9286
1,0.2,0.4,0.6,0.6,0.8,9.692,6.568,8.698,55.9049,37.4683,64.079,33.2013,43.8186,35.3583
1,0.2,0.4,0.6,0.6,1,9.718,5.776,9.464,54.772,28.1461,78.1169,28.9988,48.8004,32.7875
1,0.2,0.4,0.6,0.8,0.2,10.154,9.436,5.368,61.2808,73.4889,34.7661,47.4798,33.2719,25.5847
1,0.2,0.4,0.6,0.8,0.4,10.274,8.478,6.206,64.1673,58.1779,37.9515,42.9349,38.226,29.7951
1,0.2,0.4,0.6,0.8,0.6,10.338,7.592,7.028,63.9477,45.6929,48.3038,37.9638,42.9364,31.2319
1,0.2,0.4,0.6,0.8,0.8,10.774,6.67,7.514,69.1372,34.3738,50.7794,36.5185,47.3348,30.1058
1,0.2,0.4,0.6,0.8,1,10.698,6.134,8.126,69.8224,31.5351,53.1204,34.9584,47.8137,31.0933
1,0.2,0.4,0.6,1,0.2,10.826,9.718,4.414,70.7292,72.0305,23.3974,52.049,31.2305,24.7462
1,0.2,0.4,0.6,1,0.4,11.09,8.56,5.308,74.6552,56.6437,30.422,47.4485,36.2748,26.5206
1,0.2,0.4,0.6,1,0.6,11.156,7.754,6.048,82.3163,45.4283,33.8654,42.4112,40.3432,27.5449
1,0.2,0.4,0.6,1,0.8,11.284,6.892,6.782,81.2619,35.3911,39.9945,40.2933,44.9258,27.5616
1,0.2,0.4,0.6,1,1,11.56,6.198,7.2,81.5014,30.5639,45.0621,37.2857,47.3327,27.9222
1,0.2,0.4,0.8,0.2,0.2,6.472,9.53,8.956,27.372,75.7286,96.1824,32.2123,23.0529,36.1977
1,0.2,0.4,0.8,0.2,0.4,6.154,8.306,10.498,24.6195,57.7038,109.894,26.6943,24.9632,43.3383
1,0.2,0.4,0.8,0.2,0.6,6.164,7.418,11.376,25.44,42.5404,120.989,22.8892,30.321,43.4097
1,0.2,0.4,0.8,0.2,0.8,5.998,6.648,12.312,22.6313,33.6795,133.165,19.2558,32.2712,44.8395
1,0.2,0.4,0.8,0.2,1,5.998,5.936,13.024,24.026,27.3346,144.348,17.6893,33.499,42.0617
1,0.2,0.4,0.8,0.4,0.2,7.43,9.976,7.552,34.3217,77.5625,69.1376,38.3871,29.2171,32.9892
1,0.2,0.4,0.8,0.4,0.4,7.486,8.71,8.762,35.8816,53.573,77.6206,32.9428,36.3464,38.2775
1,0.2,0.4,0.8,0.4,0.6,7.372,7.77,9.816,33.7972,45.5763,88.8719,28.6749,37.9403,40.3664
1,0.2,0.4,0.8,0.4,0.8,7.492,6.982,10.484,35.9098,35.3363,97.3164,25.8866,41.9798,38.9566
1,0.2,0.4,0.8,0.4,1,7.338,6.204,11.416,32.5649,28.792,109.213,21.995,43.7369,40.0873
1,0.2,0.4,0.8,0.6,0.2,8.4,10.122,6.436,44.2445,79.8548,44.527,43.1595,30.7491,32.8826
1,0.2,0.4,0.8,0.6,0.4,8.506,9.192,7.26,44.4188,69.0973,52.1928,39.3856,34.5055,34.3588
1,0.2,0.4,0.8,0.6,0.6,8.436,8.03,8.492,47.1402,47.3598,61.6332,35.5981,40.4163,37.0233
1,0.2,0.4,0.8,0.6,0.8,8.698,7.288,8.972,47.3134,38.6063,72.6004,30.6683,44.3442,36.8317
1,0.2,0.4,0.8,0.6,1,8.67,6.54,9.748,45.6083,30.2329,84.3652,28.0764,47.0189,35.9059
1,0.2,0.4,0.8,0.8,0.2,9.116,10.604,5.238,55.734,85.9391,29.8811,49.1623,30.0385,26.1265
1,0.2,0.4,0.8,0.8,0.4,9.29,9.352,6.316,52.3746,66.2807,39.3027,44.8156,35.5815,31.7282
1,0.2,0.4,0.8,0.8,0.6,9.38,8.364,7.214,52.9214,49.0496,48.8419,40.2983,40.7382,34.6614
1,0.2,0.4,0.8,0.8,0.8,9.618,7.562,7.778,58.5973,45.3328,47.5278,40.7121,40.404,34.2593
1,0.2,0.4,0.8,0.8,1,9.59,6.88,8.488,56.05,34.0257,63.3445,32.3776,47.7436,34.2731
1,0.2,0.4,0.8,1,0.2,9.688,10.71,4.56,61.0047,85.7694,25.7178,51.4604,29.1891,24.2088
1,0.2,0.4,0.8,1,0.4,9.996,9.61,5.352,63.3467,70.9759,29.3107,48.281,31.5866,29.4201
